# Lexical entries for lexical selection fallback
# Format: word | pos | semantic_tags | frequency | complexity_level

fire | NOUN | dangerous,hot,element | 1000 | standard
flame | NOUN | dangerous,hot,light | 800 | standard
heat | NOUN | temperature,energy,hot | 950 | child
smoke | NOUN | gas,fire,combustion | 850 | child
burn | VERB | dangerous,hot,transform | 900 | standard
water | NOUN | liquid,cool,essential | 1200 | child
drink | VERB | consume,liquid,hydration | 1100 | child
extinguish | VERB | stop,fire,water | 650 | standard
cell | NOUN | biology,small,living | 700 | child
nucleus | NOUN | biology,center,control | 500 | academic
organelle | NOUN | biology,structure,cell | 400 | academic
mitochondria | NOUN | biology,energy,powerhouse | 350 | academic
membrane | NOUN | biology,boundary,barrier | 550 | academic
organism | NOUN | biology,living,system | 600 | standard
plant | NOUN | biology,green,growing | 950 | child
photosynthesis | NOUN | biology,light,energy | 300 | academic
glucose | NOUN | biology,sugar,energy | 450 | academic
sunlight | NOUN | energy,light,sun | 900 | child
gravity | NOUN | physics,attraction,force | 750 | standard
mass | NOUN | physics,matter,weight | 800 | standard
orbit | VERB | move,circle,gravity | 700 | standard
planet | NOUN | astronomy,world,space | 850 | child
star | NOUN | astronomy,light,sun | 1000 | child
quantum | NOUN | physics,particle,atomic | 350 | academic
entanglement | NOUN | physics,connection,state | 250 | academic
state | NOUN | physics,condition,status | 800 | standard
robot | NOUN | technology,machine,synthetic | 900 | child
learn | VERB | cognitive,acquire,mind | 1100 | child
mind | NOUN | cognitive,thought,brain | 950 | child
thought | NOUN | cognitive,idea,mind | 900 | child
building | NOUN | structure,block,construction | 1000 | child
block | NOUN | structure,unit,part | 950 | child
unit | NOUN | structure,part,system | 850 | standard
factory | NOUN | industry,production,system | 800 | child
headquarters | NOUN | control,center,hq | 600 | standard
worker | NOUN | labor,production,system | 850 | child
empire | NOUN | history,power,state | 700 | standard
fall | VERB | collapse,decline,end | 900 | child
decline | NOUN | history,reduction,fall | 600 | standard
king | NOUN | royalty,male,leader | 850 | child
queen | NOUN | royalty,female,leader | 850 | child
man | NOUN | person,male,human | 1200 | child
woman | NOUN | person,female,human | 1200 | child
apple | NOUN | fruit,food,red | 1000 | child
banana | NOUN | fruit,food,yellow | 950 | child
car | NOUN | vehicle,transport,road | 1100 | child
truck | NOUN | vehicle,transport,heavy | 900 | child
eagle | NOUN | animal,bird,sky | 750 | child
shark | NOUN | animal,fish,ocean | 750 | child
winter | NOUN | season,cold,snow | 900 | child
snow | NOUN | weather,ice,white | 950 | child
ice | NOUN | weather,cold,frozen | 900 | child
cold | ADJ | temperature,chilly,winter | 1000 | child
silent | ADJ | quiet,peaceful,sound | 850 | child
white | ADJ | color,snow,light | 1000 | child
small | ADJ | size,tiny,little | 1100 | child
tiny | ADJ | size,small,micro | 950 | child
hot | ADJ | temperature,fire,warm | 1100 | child
dangerous | ADJ | safety,risk,hazard | 850 | standard
essential | ADJ | vital,necessary,important | 800 | standard
vital | ADJ | essential,living,important | 750 | standard
complex | ADJ | intricate,detailed,advanced | 700 | standard
technical | ADJ | academic,detailed,scientific | 600 | academic
active | ADJ | energetic,moving,alive | 900 | standard
deep | ADJ | profound,distant,bottom | 900 | standard
bright | ADJ | light,shining,smart | 950 | child
dark | ADJ | night,black,shadow | 950 | child
green | ADJ | color,plant,nature | 1000 | child
red | ADJ | color,fire,blood | 1000 | child
blue | ADJ | color,water,sky | 1000 | child
yellow | ADJ | color,sun,banana | 950 | child
fast | ADJ | speed,quick,rapid | 1000 | child
slow | ADJ | speed,gradual,late | 950 | child
great | ADJ | size,grand,important | 1100 | child
strong | ADJ | power,mighty,robust | 1000 | child
weak | ADJ | frail,soft,gentle | 900 | child
wise | ADJ | smart,knowledge,mind | 800 | standard
noble | ADJ | royalty,honorable,high | 700 | standard
ancient | ADJ | history,old,past | 750 | standard
modern | ADJ | new,current,tech | 850 | standard
gently | ADV | manner,softly,quietly | 850 | child
quickly | ADV | manner,fast,rapidly | 950 | child
silently | ADV | manner,quietly,softly | 850 | child
deeply | ADV | manner,profoundly,intensely | 800 | standard
brightly | ADV | manner,lightly,shining | 850 | child
safely | ADV | manner,carefully,securely | 900 | child
clearly | ADV | manner,obviously,plainly | 950 | standard
smoothly | ADV | manner,easily,fluidly | 850 | standard
truly | ADV | manner,really,honestly | 950 | child
freely | ADV | manner,openly,liberally | 850 | standard
is | VERB | existence,be,linking | 2000 | child
are | VERB | existence,be,linking | 1900 | child
contains | VERB | include,hold,cell | 800 | standard
creates | VERB | make,generate,build | 900 | child
produces | VERB | generate,make,fire | 850 | standard
requires | VERB | need,demand,must | 800 | standard
controls | VERB | govern,direct,manage | 850 | standard
converts | VERB | transform,change,turn | 750 | standard
links | VERB | connect,bind,join | 750 | standard
solves | VERB | resolve,answer,fix | 700 | standard
explores | VERB | investigate,search,discover | 750 | standard
transforms | VERB | change,convert,alter | 700 | academic
